0.005	0	0.716643912662 -0.00180245174129 0 0
0.01	0	2.28280017902 -0.00293552560137 0 0
0.015	0	3.58732730593 -0.00300374353123 0 0
0.02	0	4.57564004191 -0.0064464796295 0 0
0.025	0	6.33209150583 -0.00943151009558 0 0
0.03	0	8.55407500415 -0.00966034489522 0 0
0.035	0	9.98780780189 -0.0124245555589 0 0
0.04	0	11.2381937818 -0.0165886866671 0 0
0.045	0	13.1726889656 -0.0181021316888 0 0
0.05	0	15.1246324055 -0.0205675822599 0 0
0.055	0	16.884787689 -0.0248216612114 0 0
0.06	0	18.8009636352 -0.0269373800175 0 0
0.065	0	20.5309000757 -0.0291685948446 0 0
0.07	0	22.2266223441 -0.0339639988714 0 0
0.075	0	24.4301021973 -0.0372457738414 0 0
0.08	0	26.5835864333 -0.0392470656751 0 0
0.085	0	28.2328997834 -0.0439542539251 0 0
0.09	0	30.1119223572 -0.0492089390532 0 0
0.095	0	32.3800687217 -0.0525524880829 0 0
0.1	0	34.4166248769 -0.0569522542777 0 0
0.105	0	36.3804711908 -0.0627030519467 0 0
0.11	0	38.5227570078 -0.0672717637685 0 0
0.115	0	40.5222164913 -0.0719069474866 0 0
0.12	0	42.5694861261 -0.077598158791 0 0
0.125	0	44.9039965075 -0.0822220379964 0 0
0.13	0	47.0330662222 -0.0862495017307 0 0
0.135	0	48.954791066 -0.0916716068859 0 0
0.14	0	51.1926339228 -0.0965504576956 0 0
0.145	0	53.5209397452 -0.0999211188168 0 0
0.15	0	55.6089560329 -0.104349250208 0 0
0.155	0	57.7728048051 -0.109438859819 0 0
0.16	0	60.050597799 -0.113059798955 0 0
0.165	0	62.1977951865 -0.116788540906 0 0
0.17	0	64.4269598284 -0.121347460921 0 0
0.175	0	66.7888432129 -0.12493604629 0 0
0.18	0	68.9551463385 -0.128199040755 0 0
0.185	0	71.101578625 -0.132035769056 0 0
0.19	0	73.4863158544 -0.135066757026 0 0
0.195	0	75.7969169182 -0.137394186281 0 0
0.2	0	77.9671429235 -0.140258987273 0 0
0.205	0	80.2796277559 -0.142738441557 0 0
0.21	0	82.6166274684 -0.144245896281 0 0
0.215	0	84.8501108798 -0.146051061515 0 0
0.22	0	87.1865006029 -0.148108574345 0 0
0.225	0	89.5598529436 -0.14939410511 0 0
0.23	0	91.7970152744 -0.150636858574 0 0
0.235	0	94.1059035455 -0.152331295003 0 0
