0.01	1.54191306747 -0.00268770605321 -1.47558400243e-06 -4.97104835034e-09 
0.02	4.57632325825 -0.00611619343163 -4.87875735801e-06 -2.31114848419e-08 
0.03	7.47933323031 -0.0117268248732 -6.72225906062e-06 -6.11520965861e-08 
0.04	11.1250327004 -0.0188320705967 -7.47158946194e-06 -1.26478127734e-07 
0.05	14.8992726288 -0.0244066998794 -1.01575949175e-05 -2.27285644975e-07 
0.06	18.0650186018 -0.0334307960019 -1.2112366132e-05 -3.82744422004e-07 
0.07	22.1736336988 -0.0412121354727 -1.25884306779e-05 -6.23411274269e-07 
0.08	26.2490851537 -0.0491283963144 -1.44768848499e-05 -9.8967759651e-07 
0.09	29.8282073145 -0.0603641131892 -1.64452459553e-05 -1.53018661398e-06 
0.1	34.1420672651 -0.070595736531 -1.68617165108e-05 -2.2840676319e-06 
0.11	38.3743701849 -0.083118866675 -1.79999463786e-05 -3.29654250504e-06 
0.12	42.4480274652 -0.0959386344528 -1.98375121654e-05 -4.61517352149e-06 
0.13	46.7226321954 -0.107948178314 -2.0272082946e-05 -6.27268567004e-06 
0.14	51.1676347453 -0.120550766805 -2.08267788778e-05 -8.32099072795e-06 
0.15	55.595873829 -0.131309033666 -2.23405282376e-05 -1.08087945483e-05 
0.16	59.7872951621 -0.14288669849 -2.28420595633e-05 -1.37658686341e-05 
