0.001	0.111627128525 -0.000694642767556 -1.7777382328e-09 -1.50043086253e-11 
0.002	0.35292096532 -0.001941089404 -1.38498536398e-08 -9.03081376736e-11 
0.003	0.655494048317 -0.00293954946289 -5.4213992594e-08 -2.76416940062e-10 
0.004	1.03671374188 -0.00355415145651 -1.44990346926e-07 -5.97530747728e-10 
0.005	1.47741810338 -0.00345818948349 -3.04278898607e-07 -1.05222920791e-09 
0.006	1.95313712434 -0.00280813234829 -5.4173870494e-07 -1.62342186547e-09 
0.007	2.41820347165 -0.00199245035109 -8.55763392521e-07 -2.2849080803e-09 
0.008	2.80879848984 -0.00117471627272 -1.23395103134e-06 -3.01396562973e-09 
0.009	3.07792472158 -0.00076346300393 -1.65837780395e-06 -3.78966680148e-09 
0.01	3.21004425812 -0.00115127237686 -2.10807857179e-06 -4.57248676651e-09 
0.011	3.22755688949 -0.00223131475543 -2.56051054353e-06 -5.32514931995e-09 
0.012	3.19779219364 -0.00384073848459 -2.99775148138e-06 -6.08160335969e-09 
0.013	3.20581244101 -0.00576923540598 -3.4075029992e-06 -6.98201597991e-09 
0.014	3.31332382819 -0.00747011580409 -3.7773328284e-06 -8.22280712457e-09 
0.015	3.55639580353 -0.00860608731115 -4.09374507629e-06 -9.96563558885e-09 
0.016	3.94246114331 -0.00911902076612 -4.34408675688e-06 -1.22711744693e-08 
0.017	4.43515137545 -0.00892086164957 -4.52009032735e-06 -1.50746911625e-08 
0.018	4.97647338804 -0.00822869666498 -4.6256895661e-06 -1.81918519246e-08 
0.019	5.50930245839 -0.00750289837879 -4.67699384957e-06 -2.13589227917e-08 
0.02	5.98199397498 -0.00701350948503 -4.69334606329e-06 -2.43127775087e-08 
0.021	6.37256393638 -0.00709032185047 -4.69311640219e-06 -2.68858060077e-08 
0.022	6.69320416953 -0.00802005938856 -4.69221082328e-06 -2.90749552894e-08 
0.023	6.96736501098 -0.00959972866914 -4.70274006812e-06 -3.10564817376e-08 
0.024	7.22868968287 -0.0114223655095 -4.73625380098e-06 -3.31417586611e-08 
0.025	7.51677206639 -0.01311518142 -4.8044616887e-06 -3.56863909368e-08 
0.026	7.85987849227 -0.0142365044532 -4.91690119784e-06 -3.89877494504e-08 
0.027	8.27132951848 -0.0145486191223 -5.08313731509e-06 -4.32069086688e-08 
0.028	8.74022031458 -0.0141593589776 -5.31166864164e-06 -4.83237107332e-08 
0.029	9.22464959096 -0.0133053670922 -5.60250498563e-06 -5.413241778e-08 
0.03	9.66943035431 -0.0124418105611 -5.94540200202e-06 -6.02967406732e-08 
0.031	10.0272585105 -0.0121364031908 -6.32286817054e-06 -6.64562433948e-08 
0.032	10.2731387121 -0.0126982009879 -6.71302586483e-06 -7.23490182636e-08 
0.033	10.4136882778 -0.0141777311162 -7.09666729343e-06 -7.7899206828e-08 
0.034	10.4880356762 -0.016414367677 -7.46114640686e-06 -8.32204693209e-08 
0.035	10.5581776994 -0.0189338213731 -7.79550468332e-06 -8.85491774246e-08 
0.036	10.6912844166 -0.0211722455206 -8.08857151195e-06 -9.41633881189e-08 
0.037	10.9410029166 -0.0227106220661 -8.33125060067e-06 -1.00302935243e-07 
0.038	11.3265696043 -0.0232709298143 -8.51693718349e-06 -1.07089210937e-07 
0.039	11.8265075614 -0.0228635749363 -8.64397889025e-06 -1.1448209265e-07 
0.04	12.3951161397 -0.0218623392331 -8.71800675737e-06 -1.22302019588e-07 
0.041	12.9765679951 -0.0207940536306 -8.74998692498e-06 -1.30304357985e-07 
0.042	13.5192711869 -0.0201828898283 -8.75529000165e-06 -1.38278894386e-07 
0.043	13.990856872 -0.020422650115 -8.75276435587e-06 -1.46136915301e-07 
0.044	14.3792636933 -0.0215831815392 -8.75946477372e-06 -1.53949903858e-07 
0.045	14.6943743178 -0.0234589109576 -8.78685246962e-06 -1.61934962324e-07 
0.046	14.9682732449 -0.0257046311487 -8.84193402412e-06 -1.70398380626e-07 
0.047	15.2433710031 -0.0278568241504 -8.92977055055e-06 -1.79648228613e-07 
0.048	15.5581356382 -0.0294580102216 -9.05622380269e-06 -1.89898634615e-07 
0.049	15.9346347766 -0.0302699333853 -9.22830947916e-06 -2.01198520232e-07 
0.05	16.3724814389 -0.0303142445438 -9.44990120351e-06 -2.13415196351e-07 
0.051	16.8490164944 -0.0298313513666 -9.71818587641e-06 -2.26287768879e-07 
0.052	17.3237275954 -0.0292381637308 -1.0023923177e-05 -2.39528617671e-07 
0.053	17.7506722741 -0.0289649417006 -1.03528760426e-05 -2.52921854545e-07 
0.054	18.092381851 -0.0293122403837 -1.06883855108e-05 -2.66384017478e-07 
0.055	18.3353463485 -0.0304093152701 -1.10145337615e-05 -2.79983078116e-07 
0.056	18.5012799654 -0.0321492570623 -1.13175788131e-05 -2.9392163201e-07 
0.057	18.6396098448 -0.0342011012364 -1.15869125144e-05 -3.08488909093e-07 
