288	0.000528147 0.000290473 0 0.000197605
1072	0.000799547 1.90738e-05 0 7.85598e-05
4128	0.000820623 -2.00195e-06 0.000822397 4.12191e-06
16192	0.000823262 -4.6409e-06 0.00082364 2.91686e-07
64128	0.000822302 -3.68124e-06 0.000822558 -6.56258e-07
255232	0.000821025 -2.40406e-06 0.000826162 -5.8026e-07
1018368	0.000820087 -1.46642e-06 0.000817498 -3.77608e-07
425	4.27119e-07 -4.27119e-07 0 1.69023e-07
425	4.27119e-07 -4.27119e-07 0 1.69042e-07
425	4.27119e-07 -4.27119e-07 0 1.69042e-07
425	4.61487e-07 -4.61487e-07 0 1.36768e-07
