288	15.4653 -1.17135 0 -1.46499
1072	14.4871 -0.19317 0 -0.283851
4128	14.3396 -0.0456045 14.3133 -0.0568262
16192	14.3072 -0.0132761 14.2982 -0.0148593
64128	14.2985 -0.00456811 14.2953 -0.00454415
255232	14.2958 -0.00180267 14.2945 -0.00158525
1018368	14.2947 -0.000786916 14.2941 -0.000621288
288	15.4653 -1.17135 0 -1.46499
288	15.4653 -1.17135 0 -1.46499
288	15.4653 -1.17135 0 -1.46499
850	14.5009 -0.206935 0 -0.111746
2752	14.3443 -0.0503556 14.314 2.85549
8350	14.3111 -0.017193 14.3022 15.8822
21606	14.3008 -0.00682885 14.2961 13.6125
43906	14.298 -0.00407259 14.297 13.7256
85676	14.296 -0.00202195 14.29 9.52512
151240	14.2953 -0.00131722 14.2949 11.9102
283826	14.2945 -0.000596722 14.3275 7.01093
288	15.4653 -1.17135 0 -1.46499
850	14.5009 -0.20694 0 -0.111733
2752	14.3443 -0.0503601 14.314 2.85549
8350	14.3111 -0.0171958 14.3022 15.8822
288	15.4653 -1.17135 0 -1.46499
850	14.5009 -0.20694 0 -0.111733
2752	14.3443 -0.0503601 14.314 2.85549
8350	14.3111 -0.0171958 14.3022 15.8822
288	15.4653 -1.17134 0 -1.46499
288	15.4653 -1.17134 0 -1.46499
850	14.5009 -0.206938 0 -0.111728
2752	14.3443 -0.05036 14.314 2.85549
8350	14.3111 -0.0171958 14.3022 15.8822
288	15.4653 -1.17134 0 -1.46499
850	14.5009 -0.206938 0 -0.111728
288	11.4554 2.83854 0 -0.606009
710	11.1994 3.09451 0 -0.56454
2088	11.1675 3.12649 11.1629 -0.431424
6944	11.1618 3.13213 11.1606 4.54248
288	11.4554 2.83854 0 -0.606009
1072	11.197 3.09696 0 -0.112309
4128	11.1655 3.12842 11.1612 -0.0174935
288	11.3399 2.95409 0 -0.4735
1072	11.1824 3.11157 0 -0.0979027
4128	11.1646 3.12933 11.1624 -0.0167436
16192	11.1604 3.1336 11.159 -0.00349132
64128	11.1594 3.13456 11.1591 -0.000843586
288	582.69 -582.69 0 223193
288	1.81223e-10 -1.81223e-10 0 2.21516e-09
288	9.53285 -9.53285 0 -2.71251
1072	-7.4485 7.4485 0 558.761
4128	-609.585 609.585 10.0257 6407.7
288	9.53285 -9.53285 0 -2.71251
288	4.59618 -4.59618 0 -0.0815825
1072	4.50449 -4.50449 0 -0.621766
4128	4.56824 -4.56824 4.5421 0.193387
16192	4.59776 -4.59776 4.6232 -0.198952
