288	2.86978e-05 -6.01279e-06 0 -6.21314e-06
1072	2.36609e-05 -9.75854e-07 0 -1.31331e-06
4128	2.2949e-05 -2.63963e-07 2.28318e-05 -2.56595e-07
16192	2.2772e-05 -8.70182e-08 2.27135e-05 -8.33125e-08
64128	2.27118e-05 -2.67847e-08 2.26807e-05 -3.25717e-08
255232	2.26909e-05 -5.87237e-09 2.26798e-05 -1.24717e-08
1018368	2.26843e-05 6.85989e-10 2.26813e-05 -4.58035e-09
425	5.93779e-05 -5.93779e-05 0 -5.64672e-07
288	2.86978e-05 -6.01279e-06 0 -6.21527e-06
288	2.86978e-05 -6.01279e-06 0 -6.21527e-06
900	2.36176e-05 -9.32608e-07 0 3.35408e-06
2338	2.29622e-05 -2.77219e-07 2.28651e-05 1.29926e-05
6696	2.27991e-05 -1.14122e-07 2.27451e-05 1.61504e-05
18068	2.2726e-05 -4.09582e-08 2.26664e-05 2.53111e-05
288	2.86978e-05 -6.01279e-06 0 -6.21527e-06
850	2.39752e-05 -1.29017e-06 0 -5.00271e-06
2752	2.30304e-05 -3.45381e-07 2.27941e-05 6.31039e-06
8350	2.27963e-05 -1.113e-07 2.27192e-05 2.5822e-05
288	2.86978e-05 -6.01279e-06 0 -6.21527e-06
850	2.39752e-05 -1.29017e-06 0 -5.00271e-06
2752	2.30304e-05 -3.45381e-07 2.27941e-05 6.31039e-06
425	5.93779e-05 -5.93779e-05 0 -5.64819e-07
288	2.86978e-05 -6.01275e-06 0 -6.21526e-06
288	2.86978e-05 -6.01275e-06 0 -6.21526e-06
850	2.39752e-05 -1.29016e-06 0 -5.00266e-06
2752	2.30304e-05 -3.45381e-07 2.27941e-05 6.31039e-06
425	5.93779e-05 -5.93779e-05 0 -5.64819e-07
425	5.59601e-05 -5.59601e-05 0 2.7971e-06
425	5.59601e-05 3.27991e-06 0 2.7971e-06
425	5.59601e-05 3.27991e-06 0 2.7971e-06
1161	4.72428e-05 1.19972e-05 0 2.84972e-05
1757	5.6088e-05 3.15204e-06 5.16332e-05 5.19596e-06
3815	5.3186e-05 6.05402e-06 5.39029e-05 1.89664e-05
7479	5.40317e-05 5.2083e-06 5.38409e-05 3.30163e-05
13807	5.50718e-05 4.1682e-06 4.95061e-05 3.70883e-05
425	5.59601e-05 3.27991e-06 0 2.7971e-06
1161	4.72428e-05 1.19972e-05 0 2.84972e-05
1757	5.6088e-05 3.15204e-06 5.16332e-05 5.19596e-06
3815	5.3186e-05 6.05402e-06 5.39029e-05 1.89664e-05
7479	5.40317e-05 5.2083e-06 5.38409e-05 3.30163e-05
13807	5.50718e-05 4.1682e-06 4.95061e-05 3.70883e-05
26535	5.48068e-05 4.43318e-06 5.48606e-05 3.53012e-05
52743	5.69497e-05 2.29028e-06 5.50426e-05 2.55372e-05
105825	5.71482e-05 2.0918e-06 5.71685e-05 3.40469e-05
